,train_acc_mean,val_acc_mean,test_acc_mean,train_acc_std,val_acc_std,test_acc_std
AIDS,0.9962500000000001,0.9949999999999999,0.9949999999999999,0.0004419417382415828,0.0,0.0
BZR,0.8432098765432098,0.8699999999999999,0.7658536585365854,0.014377549010928544,0.011180339887498926,0.013359086768418698
COX2,0.7973190348525468,0.7489361702127659,0.774468085106383,0.014135577829988283,0.017801277160299455,0.03226755508107041
DHFR,0.6254966887417218,0.631578947368421,0.6052631578947368,0.03628057314486415,0.029421947072365662,0.0
MUTAG,0.8173333333333334,0.8526315789473683,0.8105263157894737,0.021395742047841605,0.023537557657892543,0.028827503026587667
NCI1,0.7445255474452555,0.7732360097323602,0.751338199513382,0.007756965173270576,0.01093537958844007,0.030360050135891128
PTC_MR,0.6058181818181818,0.5235294117647059,0.5885714285714285,0.018290583767213556,0.048328460956338214,0.06259686371487617
