,train_acc_mean,val_acc_mean,test_acc_mean,train_acc_std,val_acc_std,test_acc_std
COLLAB,0.78505,0.7536,0.7652,0.1823118379316055,0.10298931983463144,0.09323733157914806
DD,0.842887473460722,0.7220338983050848,0.7084745762711864,0.015310196498785516,0.015159782898303657,0.01418067841583179
ENZYMES,0.4333333333333333,0.35,0.5166666666666666,0.02504336516702357,0.026352313834736484,0.0485912657903775
IMDB-BINARY,0.8324999999999999,0.76,0.732,0.017477664317636983,0.03316624790355405,0.0311448230047949
IMDB-MULTI,0.5763333333333334,0.5479999999999999,0.48,0.008986873143028633,0.02724375565560343,0.01632993161855452
Letter-high,0.5598888888888889,0.6311111111111111,0.6142222222222222,0.01003389317990175,0.016629588385661954,0.01843239231406908
Letter-low,0.9084444444444444,0.9199999999999999,0.920888888888889,0.005021558461545184,0.007027283689262953,0.017040257344605132
Letter-med,0.7162222222222222,0.8044444444444444,0.7875555555555556,0.02145696237979416,0.0174977952755818,0.007950463919999248
PROTEINS,0.7761797752808989,0.8144144144144144,0.6946428571428571,0.005411952619681929,0.018681478696691605,0.01597191412499852
